custid,retained,Days between creation and first order,Days since last order,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,train,created,firstorder,lastorder,,,, 
QPRVDD,1,184,91,174,96.55172414,12.64367816,94.5,0.047032475,1,1,0,Friday,CHO,0,11/9/10,5/12/11,10/21/13,,,,
HUBE83,1,0,85,49,20.40816327,2.040816327,43.21,0.016016016,0,0,0,Monday,CHO,0,2/1/11,2/1/11,10/27/13,,,,
GW8AUL,1,223,1,51,64.70588235,25.49019608,81.15,0.151515152,1,0,0,Monday,RIC,0,9/24/10,5/5/11,1/19/14,,,,
WYSPZ7,0,197,6,9,44.44444444,0,213.52,0.150631681,1,1,0,Wednesday,CHO,0,9/6/10,3/22/11,1/14/14,,,,
ZLK255,0,380,867,0,0,0,146.98,0,0,0,0,Tuesday,CHO,0,8/22/10,9/6/11,9/6/11,,,,
FUCUZ2,1,49,742,46,8.695652174,4.347826087,83.17,0.006644518,1,0,0,Monday,CHO,0,3/29/10,5/17/10,1/9/12,,,,
WP4AGL,0,1,1536,0,0,0,19.44,0,0,0,0,Friday,CHO,0,11/5/09,11/6/09,11/6/09,,,,
B64VK7,0,54,1608,0,0,0,21.3,0.285714286,0,0,0,Thursday,CHO,0,6/26/09,8/19/09,8/26/09,,,,
FQHGUT,1,94,686,46,2.173913043,0,110.04,0.040178571,0,0,0,Monday,RIC,0,9/10/10,12/13/10,3/5/12,,,,
3PZ4VY,1,0,62,40,5,5,99.13,0.002139037,0,0,0,Thursday,CHO,0,4/29/11,4/29/11,11/19/13,,,,
Z4Y7TL,0,429,693,0,0,0,79.86,0.038461538,1,0,0,Wednesday,CHO,0,9/12/10,11/15/11,2/27/12,,,,
EC9F6X,1,74,1273,39,0,0,49.29,0,0,0,0,Friday,CHO,0,5/14/10,7/27/10,7/27/10,,,,
5LQBRS,1,0,1608,45,15.55555556,0,21.14,0,0,0,0,Thursday,CHO,0,8/26/09,8/26/09,8/26/09,,,,
